Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
D0_Severe.9	0	0	0.211496550449839	0	0	0	0	0	0	0.198592967189446	0.0443046257572921	0	0	0.198195688099339	0	0	0	0.211677420251373	0	0.20026752041002	0	0.795366000309591	0.24	0.448176637389129	0.89629927805016	1.8599007724669
D0_Severe.10	0	0	0.318912581231948	0	0.029759662198792	0.0241269234923202	0	0.0216163534001469	0	0.195512938392483	0.0764179706671413	0	0	0.313869876322723	0	0	0	0.234882837494546	0	0.329379415262252	0	1.09967624077112	0.13	0.528834525809952	0.84505264492688	2.64415479923347
D0_Severe.11	0	0	0.208006248450646	0	0	0	0	0	0	0.240059152091977	0	0	0	0.197068051911351	0	0	0	0.333356971524856	0	0.196636707115832	0	0.466387064731112	0.5	0.249489529539239	0.985779348283358	1.64151419582577
D0_moderately	0	0	0.260952853832233	0	0	0	0	0	0	0.244482302363979	0	0	0	0.123227564684824	0	0	0	0.337270303559143	0	0.164708394755205	0	0.792151705225897	0.17	0.492614188408488	0.863921725631413	1.92279312442128
D0_moderately.1	0	0	0.0873901640987108	0	0	0	0	0	0	0.280901850778718	0	0	0	0.171428999509102	0	0	0.045586760903848	0.383737455473037	0	0.13808241010282	0	0.479195655516328	0.36	0.348922414777519	0.936123272886695	1.58632329638257
D0_moderately.2	0	0	0.212499373290722	0	0	0	0	0	0	0.205073760500255	0	0	0	0.240533875308034	0	0	0	0.175962731437707	0	0.2350496922385	0	0.609830738929314	0.27	0.431174459367132	0.904603658479536	1.67895017170453
D0_moderately.3	0	0	0.279367999411415	0	0.0250585692728564	0.0297161963402308	0	0.0149762067897985	0	0.175934148424771	0.121662817798414	0	0	0.447752271136614	0	0	0	0.149657068114272	0	0.406155024878456	0	1.42995991749548	0.11	0.564947310685523	0.825971939985749	3.0802402196623
D0_moderately.4	0	0	0.195770837865922	0	0	0	0	0	0	0.226082493483908	0	0	0	0.249111099575215	0	0	0	0.153762182653168	0	0.24061621137408	0	0.732444328626052	0.21	0.470499272940281	0.884495398410406	1.79778715357834
D0_moderately.5	0	0	0.011338645239839	0	0	0	0	0	0	0.215047573801337	0.0148133531780987	0	0	0.250455468014484	0	0	0	0.308967401575785	0	0.278745479800291	0	0.944651061368173	0.47	0.264885304739072	1.01976087000258	2.02401898297801
D0_moderately.6	0	0	0.22203379856622	0	0	0	0	0	0	0.181554770751529	0.00775187702299651	0	0	0.26225157435763	0	0	0	0.284386406518588	0	0.266699488888536	0	0.518874413830406	0.31	0.413837847077743	0.908113806405861	1.74355232993591
D0_moderately.7	0.00164144860894013	0.01600456500933	0	0	0	0	0	0	0	0.268718572968352	0	0	0	0.198902978368937	0	0	0	0.338319991446842	0	0.123819880450004	0	0.542186707524758	0.41	0.331115109188734	0.959207398770689	1.48959414437716
D0_moderately.8	0	0	0.310998335570254	0	0.0131708556382636	0.00989772103923331	0	0.0219312927879302	0	0.271048592240503	0.0212195755079368	0	0	0.255596795092049	0	0	0	0.180269762725405	0	0.325124030687752	0	1.20370636411139	0.12	0.543739283687257	0.837481265628191	2.61296332540071
D0_moderately.9	0	0	0.223224614407344	0	0	0	0	0	0	0.175501657123957	0.0577178630214572	0	0	0.282244998993127	0	0	0	0.281063885757079	0	0.206625104533482	0	0.954758439955036	0.24	0.452110353812562	0.89637642261614	2.18113656379148
D0_moderately.10	0	0	0.251292942360063	0	0	0	0	0.00417192536079362	0	0.197569104265881	0.0615431217216334	0	0	0.222463698519273	0	0	0	0.224157081427049	0	0.2530955839702	0	1.28345510433028	0.12	0.539973414489985	0.843069071575722	2.49774856195517
